                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4409,                 4.4873,                 2.7675,                 2.2437,                0.10911,                0.17758,                0.05581,                0.02272,                0.04826,                0.08761,                0.01183,                0.00291,                  2.637,                 4.6695,                 3.0695,                 2.3015,             0.00066648,             0.00066648,             0.00066648
                      2,                 2.0621,                 4.2606,                 2.2703,                 1.9588,                0.01377,                 0.3311,                0.01156,                0.00469,                0.00638,                0.20679,                0.00357,                0.00099,                 2.8367,                 7.2422,                 60.797,                 2.7154,              0.0012012,              0.0012012,              0.0012012
                      3,                 1.8565,                 4.1378,                 2.0755,                 1.7977,                0.14591,                0.21547,                0.09816,                0.04318,                0.09001,                0.13852,                0.04078,                0.01436,                 2.2315,                 4.5195,                 3.2632,                 1.8798,              0.0016039,              0.0016039,              0.0016039
                      4,                 1.7631,                 4.0437,                 1.9583,                 1.7227,                0.03321,                0.42976,                0.02416,                0.01059,                0.02234,                 0.2277,                 0.0116,                0.00335,                 2.3373,                 4.8084,                 23.621,                  2.017,               0.001406,               0.001406,               0.001406
                      5,                 1.6736,                 3.9747,                 1.8183,                 1.6432,                0.05473,                 0.3165,                0.03593,                0.01634,                0.03715,                0.19653,                0.01543,                0.00473,                 2.1578,                 4.5549,                 7.4473,                 1.8701,               0.001208,               0.001208,               0.001208
                      6,                 1.5921,                 3.9024,                 1.7198,                 1.5859,                0.28182,                0.33662,                0.17249,                0.07773,                0.18875,                0.18193,                0.07028,                0.01978,                 2.0046,                 4.3766,                 2.6123,                 1.7919,                0.00101,                0.00101,                0.00101
                      7,                 1.5248,                 3.8415,                 1.6462,                 1.5165,                0.30216,                0.22534,                0.19281,                0.10018,                0.22772,                0.14545,                0.09448,                0.03453,                 1.9124,                 4.3803,                 2.7511,                 1.6771,               0.000812,               0.000812,               0.000812
                      8,                 1.4764,                 3.8158,                 1.5547,                 1.5006,                 0.1264,                0.30387,                  0.098,                0.05093,                0.10074,                0.19337,                0.05371,                0.02014,                 1.8703,                 3.9656,                 2.8177,                 1.6135,               0.000614,               0.000614,               0.000614
                      9,                 1.4054,                 3.7518,                  1.486,                  1.454,                 0.0643,                0.48224,                0.05193,                0.02554,                 0.0453,                0.31689,                0.02614,                0.00837,                 1.8756,                 4.0668,                 6.1532,                  1.619,               0.000416,               0.000416,               0.000416
                     10,                 1.3513,                 3.7169,                 1.4209,                 1.4112,                0.10136,                0.44525,                0.07748,                0.03881,                0.07009,                0.28295,                0.03617,                0.01149,                 1.8019,                 4.0167,                 4.2852,                 1.5409,               0.000218,               0.000218,               0.000218
